Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10u,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole,
J1,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,PWR_IN,
J2,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,CAN,
"R1, R2",0805,2,10k,
"R3, R4, R6",0805,3,4k7,
R5,0805,1,R120,
U10,MODULE_ESP32-DEVKITC-32U,1,ESP32-DEVKITC-32U,
U2,JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical,1,TIME_ENCODER,
U3,JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical,1,SPEED_ENCODER,
U4,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,1,TEMP MOTOR,
U5,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,1,TEMP MATERIAL,
U6,TJA1050,1,TJA1050,
U8,display_connector_jst_xh_6,1,TZT OLED312 SSD1322,
