Designator,Mid X,Mid Y,Rotation,Layer
C1,62.1,-45.8,180.0,bottom
J1,62.952,-38.562,0.0,top
J2,131.973,-38.562,0.0,top
R1,98.028,-45.593,180.0,bottom
R2,88.63,-46.101,180.0,bottom
R3,133.747,-58.039,180.0,bottom
R4,119.4,-57.658,180.0,bottom
R5,131.191,-70.342,90.0,bottom
R6,111.125,-72.39,90.0,bottom
U10,84.001,-61.8675,270.0,top
U2,92.3784,-38.562,0.0,top
U3,73.9152,-38.562,0.0,top
U4,130.014,-52.25,0.0,top
U5,115.85,-52.25,0.0,top
U6,111.971,-76.893,90.0,top
U8,111.0098,-38.562,0.0,top
